CensusTract,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LowIncomeTracts,PovertyRate,TractLOWI,Population,County
42003010300,0,1,0,1,46.1,540,1171,Allegheny County
42003020100,0,0,0,0,17.5,990,5668,Allegheny County
42003020300,0,0,0,0,6.4,102,1601,Allegheny County
42003030500,0,0,0,1,39.5,1588,4022,Allegheny County
42003040200,0,1,0,1,47.9,887,1852,Allegheny County
42003040400,0,0,0,1,39.8,968,2429,Allegheny County
42003040500,0,1,0,1,72.8,2517,3456,Allegheny County
42003040600,0,1,0,1,57.7,1589,2756,Allegheny County
42003040900,0,1,0,1,58,2413,4158,Allegheny County
42003050100,0,1,0,1,51.2,1420,2771,Allegheny County
42003050600,0,1,0,1,21.8,652,2993,Allegheny County
42003050900,0,0,0,1,58.4,1109,1900,Allegheny County
42003051000,0,1,0,1,56,987,1761,Allegheny County
42003051100,0,0,0,1,43.5,159,365,Allegheny County
42003060300,0,0,0,0,14.6,658,4507,Allegheny County
42003060500,0,0,0,0,9.6,368,3814,Allegheny County
42003070300,0,0,0,0,19.2,635,3307,Allegheny County
42003070500,0,0,0,1,25.3,1264,4990,Allegheny County
42003070600,0,0,0,0,15,538,3594,Allegheny County
42003070800,0,0,0,0,19,902,4745,Allegheny County
42003070900,0,0,0,1,32.5,1890,5807,Allegheny County
42003080200,0,0,0,1,21.3,715,3351,Allegheny County
42003080400,0,0,0,1,33.4,799,2389,Allegheny County
42003080600,0,0,0,0,10.7,552,5149,Allegheny County
42003080700,0,0,0,1,21.2,824,3894,Allegheny County
42003080900,0,0,0,0,8.8,427,4869,Allegheny County
42003090100,0,0,0,0,8.7,387,4426,Allegheny County
42003090200,0,0,0,0,8.8,749,8507,Allegheny County
42003090300,0,0,0,1,12.2,781,6423,Allegheny County
42003100500,0,0,0,0,12.5,480,3834,Allegheny County
42003101100,0,0,0,1,14.2,996,7027,Allegheny County
42003101400,0,0,0,0,5,749,15034,Allegheny County
42003101600,0,1,0,1,43.3,756,1745,Allegheny County
42003101700,0,0,0,1,24.3,606,2495,Allegheny County
42003101800,0,0,0,0,6,413,6939,Allegheny County
42003110200,0,0,0,0,8.5,952,11227,Allegheny County
42003110600,0,0,0,0,15.5,539,3471,Allegheny County
42003111300,0,0,0,0,17.8,1134,6366,Allegheny County
42003111400,0,0,0,1,28,657,2344,Allegheny County
42003111500,0,0,0,1,18.2,1882,10365,Allegheny County
42003120300,1,1,1,1,25.8,997,3870,Allegheny County
42003120400,0,1,0,1,52,587,1128,Allegheny County
42003120700,0,1,0,1,43.4,601,1385,Allegheny County
42003120800,0,0,0,1,30.9,427,1383,Allegheny County
42003130100,0,1,0,1,69.7,1339,1920,Allegheny County
42003130200,0,1,0,1,42.8,1055,2467,Allegheny County
42003130300,0,0,0,1,35.4,830,2345,Allegheny County
42003130400,0,0,0,1,48.2,643,1333,Allegheny County
42003130600,0,1,0,1,42.7,1615,3785,Allegheny County
42003140100,0,0,0,0,12.3,575,4657,Allegheny County
42003140200,0,0,0,1,27.1,682,2518,Allegheny County
42003140300,0,0,0,0,9.2,610,6661,Allegheny County
42003140400,0,0,0,0,5.8,295,5072,Allegheny County
42003140500,0,0,0,0,15.1,416,2752,Allegheny County
42003140600,0,0,0,0,10,534,5350,Allegheny County
42003140800,0,0,0,0,13.4,1351,10091,Allegheny County
42003141000,0,0,0,0,1.2,54,4497,Allegheny County
42003141100,0,0,0,0,2.4,366,15455,Allegheny County
42003141300,0,0,0,0,19.2,2064,10728,Allegheny County
42003141400,0,0,0,0,11.9,1168,9812,Allegheny County
42003151600,0,0,0,0,4.8,428,8954,Allegheny County
42003151700,0,0,0,0,8.9,1343,15101,Allegheny County
42003160800,0,1,0,1,15.8,1025,6470,Allegheny County
42003160900,0,0,0,0,17.8,1077,6066,Allegheny County
42003170200,0,0,0,1,30.6,1499,4906,Allegheny County
42003170600,0,1,0,1,20.6,753,3660,Allegheny County
42003180300,0,1,0,1,27.3,1640,6003,Allegheny County
42003180700,0,1,0,1,19,903,4744,Allegheny County
42003190300,0,0,0,0,4.8,456,9533,Allegheny County
42003191100,0,0,0,0,12.9,736,5716,Allegheny County
42003191400,0,0,0,1,18,938,5217,Allegheny County
42003191500,0,1,0,1,13.2,843,6378,Allegheny County
42003191600,0,0,0,0,14.9,1522,10201,Allegheny County
42003191700,0,0,0,0,8,690,8607,Allegheny County
42003191800,0,0,0,1,10.1,1753,17399,Allegheny County
42003191900,0,0,0,0,9.8,506,5158,Allegheny County
42003192000,0,0,0,0,10.4,1105,10668,Allegheny County
42003202200,0,1,0,1,32.1,1338,4169,Allegheny County
42003202300,0,0,0,0,9.5,727,7660,Allegheny County
42003210700,0,1,0,1,18.4,742,4031,Allegheny County
42003220600,0,0,0,0,14.3,490,3434,Allegheny County
42003240600,0,0,0,0,16.8,651,3884,Allegheny County
42003241200,0,0,0,0,18.6,291,1568,Allegheny County
42003250300,0,1,0,1,27.4,519,1897,Allegheny County
42003250700,0,0,0,1,45.3,366,808,Allegheny County
42003250900,0,1,0,1,28.1,713,2536,Allegheny County
42003260200,1,1,1,1,17,703,4145,Allegheny County
42003260700,0,0,0,0,7.7,313,4074,Allegheny County
42003260900,1,1,1,1,67.5,1113,1649,Allegheny County
42003261200,0,0,0,0,3.7,126,3399,Allegheny County
42003261400,0,1,0,1,27.8,923,3320,Allegheny County
42003261500,0,1,0,1,33.6,735,2185,Allegheny County
42003262000,1,1,1,1,32.5,1198,3691,Allegheny County
42003270100,0,0,0,0,10.9,676,6184,Allegheny County
42003270300,0,0,0,0,9.1,676,7447,Allegheny County
42003270400,0,0,0,0,15.3,434,2839,Allegheny County
42003270800,0,0,0,0,19.3,838,4347,Allegheny County
42003271500,0,1,0,1,19.9,1902,9560,Allegheny County
42003281400,0,1,0,1,42.3,1473,3485,Allegheny County
42003281500,0,0,0,0,6.4,371,5807,Allegheny County
42003290100,0,1,0,1,14.8,1052,7088,Allegheny County
42003290200,0,1,0,1,17.1,2119,12359,Allegheny County
42003290400,1,1,1,1,25,1818,7262,Allegheny County
42003300100,0,1,0,1,32.9,2353,7154,Allegheny County
42003310200,0,0,0,0,7.7,982,12770,Allegheny County
42003310300,0,0,0,0,3.3,113,3390,Allegheny County
42003320400,1,1,1,1,16.2,718,4426,Allegheny County
42003320600,0,0,0,0,10.1,485,4805,Allegheny County
42003320700,0,0,0,0,14.9,563,3774,Allegheny County
42003401100,0,0,0,0,4.9,1134,23314,Allegheny County
42003401200,0,1,0,1,31.1,1803,5805,Allegheny County
42003401300,0,0,0,0,4,350,8731,Allegheny County
42003402000,1,1,1,1,17.5,1125,6439,Allegheny County
42003403500,1,1,1,1,23.3,2262,9696,Allegheny County
42003404000,0,0,0,0,12.2,423,3471,Allegheny County
42003405000,0,0,0,0,6.9,141,2039,Allegheny County
42003406000,0,0,0,0,3.2,398,12382,Allegheny County
42003407001,0,0,0,0,3,1302,43268,Allegheny County
42003407002,0,0,0,0,6.6,989,14917,Allegheny County
42003408001,0,0,0,0,6.4,622,9725,Allegheny County
42003408002,0,0,0,0,2.4,436,18453,Allegheny County
42003409000,0,0,0,0,2.4,893,37468,Allegheny County
42003410000,0,0,0,0,2.2,49,2260,Allegheny County
42003411000,0,0,0,0,3.5,879,25052,Allegheny County
42003412001,0,0,0,0,3.3,514,15435,Allegheny County
42003412002,0,0,0,0,1.4,177,12850,Allegheny County
42003413100,0,0,0,0,7.6,820,10851,Allegheny County
42003413201,0,0,0,0,4.7,373,7967,Allegheny County
42003413202,0,0,0,0,3.3,388,11821,Allegheny County
42003413300,0,0,0,0,2.1,363,16896,Allegheny County
42003413400,0,0,0,0,3.2,559,17219,Allegheny County
42003413500,0,0,0,0,6.7,1049,15712,Allegheny County
42003414101,0,0,0,0,1.6,345,21996,Allegheny County
42003414102,0,0,0,0,3.9,1214,30785,Allegheny County
42003414200,0,0,0,0,5.6,692,12348,Allegheny County
42003415001,0,0,0,0,4.2,453,10893,Allegheny County
42003415002,0,0,0,0,5.1,200,3938,Allegheny County
42003416000,0,1,0,1,9.5,445,4691,Allegheny County
42003417100,0,0,0,0,9.1,424,4671,Allegheny County
42003417200,0,0,0,0,14.8,417,2816,Allegheny County
42003418000,0,0,0,0,6.6,297,4468,Allegheny County
42003419000,0,0,0,0,9.4,572,6098,Allegheny County
42003420000,1,1,1,1,14.4,750,5209,Allegheny County
42003421100,0,0,0,0,4.6,809,17639,Allegheny County
42003421200,0,0,0,0,5.9,552,9379,Allegheny County
42003422000,0,0,0,0,0.6,273,45480,Allegheny County
42003423000,0,0,0,0,4.3,468,10803,Allegheny County
42003424000,1,1,1,1,19.3,1430,7419,Allegheny County
42003425000,0,1,0,1,8.8,1290,14617,Allegheny County
42003426300,0,0,0,0,2,713,35273,Allegheny County
42003426400,0,0,0,0,6.2,604,9737,Allegheny County
42003426700,0,0,0,0,4.5,404,8966,Allegheny County
42003426800,0,0,0,0,2.9,382,13382,Allegheny County
42003427000,1,1,1,1,18,1531,8512,Allegheny County
42003427100,0,0,0,0,4.8,584,12179,Allegheny County
42003427200,0,0,0,0,12.4,1047,8449,Allegheny County
42003428100,0,0,0,0,5.9,322,5474,Allegheny County
42003428200,0,0,0,0,2.8,299,10645,Allegheny County
42003429100,0,0,0,0,6.9,467,6791,Allegheny County
42003429201,0,0,0,0,4,545,13764,Allegheny County
42003429202,0,0,0,0,3.3,515,15731,Allegheny County
42003429300,0,0,0,0,5.3,906,17119,Allegheny County
42003429400,0,0,0,0,4,790,19616,Allegheny County
42003429500,0,0,0,0,6.1,1037,17009,Allegheny County
42003429600,0,0,0,0,4.7,525,11253,Allegheny County
42003429700,0,0,0,0,5.1,387,7659,Allegheny County
42003430100,0,0,0,0,10.7,561,5234,Allegheny County
42003430200,0,0,0,0,5.2,1129,21743,Allegheny County
42003431100,0,0,0,0,14.9,1013,6783,Allegheny County
42003431400,0,0,0,0,9.9,396,4000,Allegheny County
42003431500,0,0,0,0,12.5,997,7971,Allegheny County
42003432300,0,0,0,0,9.7,712,7307,Allegheny County
42003432400,0,0,0,0,5.3,474,8963,Allegheny County
42003434000,0,0,0,0,3.4,225,6546,Allegheny County
42003435000,0,0,0,0,4.9,517,10651,Allegheny County
42003437000,0,0,0,0,4.9,714,14556,Allegheny County
42003439000,0,0,0,0,4.8,184,3856,Allegheny County
42003445500,0,0,0,0,7.3,536,7373,Allegheny County
42003446000,0,0,0,0,5.8,114,1978,Allegheny County
42003447000,0,0,0,0,3.7,226,6145,Allegheny County
42003448000,0,1,0,1,21.4,424,1979,Allegheny County
42003449000,0,0,0,0,4.1,430,10400,Allegheny County
42003450700,0,1,0,1,9.8,1146,11700,Allegheny County
42003450800,0,0,0,1,18.9,1367,7234,Allegheny County
42003451101,0,0,0,0,6,478,7953,Allegheny County
42003451102,0,0,0,0,5.6,869,15624,Allegheny County
42003451104,0,0,0,0,1,108,11048,Allegheny County
42003451105,0,0,0,0,8.5,1252,14708,Allegheny County
42003451300,0,0,0,0,3.1,742,23882,Allegheny County
42003452000,0,0,0,0,6.2,1148,18483,Allegheny County
42003453003,0,0,0,0,6.1,358,5853,Allegheny County
42003453004,0,0,0,0,16.1,1466,9108,Allegheny County
42003455000,0,0,0,0,5.4,281,5234,Allegheny County
42003456001,0,0,0,0,3.6,411,11463,Allegheny County
42003456003,0,0,0,0,5.3,761,14353,Allegheny County
42003456004,0,0,0,0,3,453,15077,Allegheny County
42003457100,0,0,0,0,12.1,361,2977,Allegheny County
42003457200,0,1,0,1,10,993,9911,Allegheny County
42003458000,0,0,0,0,3.2,850,26968,Allegheny County
42003459101,0,0,0,0,13.9,412,2958,Allegheny County
42003459102,0,0,0,0,4.9,774,15828,Allegheny County
42003459201,0,0,0,0,4.7,954,20497,Allegheny County
42003459202,1,1,1,1,8.6,164,1914,Allegheny County
42003460001,0,0,0,0,2.9,778,26882,Allegheny County
42003460002,0,0,0,0,2.9,856,29700,Allegheny County
42003461000,1,1,1,1,18.9,373,1970,Allegheny County
42003462100,1,1,1,1,18.5,1376,7440,Allegheny County
42003462600,1,1,1,1,23.2,1465,6315,Allegheny County
42003463900,0,1,0,1,16.6,1105,6652,Allegheny County
42003464300,0,0,0,0,8.8,734,8362,Allegheny County
42003464400,0,1,0,1,36,2237,6211,Allegheny County
42003465600,0,0,0,0,15.2,930,6113,Allegheny County
42003465800,0,0,0,0,4.4,471,10591,Allegheny County
42003468700,1,1,1,1,13.4,431,3216,Allegheny County
42003468800,0,0,0,0,19.7,1056,5354,Allegheny County
42003468900,0,0,0,0,15.5,1357,8763,Allegheny County
42003469000,0,0,0,0,9.9,868,8726,Allegheny County
42003470300,0,0,0,0,6,763,12653,Allegheny County
42003470400,0,0,0,0,2.8,305,10715,Allegheny County
42003470501,0,0,0,0,7.6,704,9273,Allegheny County
42003470502,0,0,0,0,1.9,354,18515,Allegheny County
42003470600,0,0,0,0,13.1,763,5819,Allegheny County
42003471000,0,0,0,1,6.7,425,6330,Allegheny County
42003472100,0,1,0,1,7.7,714,9286,Allegheny County
42003472200,0,0,0,0,7.6,458,6019,Allegheny County
42003472300,0,0,0,0,8.7,581,6690,Allegheny County
42003472400,0,0,0,0,3.4,188,5464,Allegheny County
42003473100,0,0,0,0,5.7,629,11033,Allegheny County
42003473200,0,0,0,0,4.5,501,11157,Allegheny County
42003473300,0,0,0,0,5.9,510,8655,Allegheny County
42003473401,0,0,0,0,8.8,635,7210,Allegheny County
42003473402,0,0,0,0,3.4,274,8128,Allegheny County
42003473500,0,0,0,0,4.1,211,5188,Allegheny County
42003473601,0,0,0,0,2.7,322,11956,Allegheny County
42003473602,0,0,0,0,6,559,9286,Allegheny County
42003474101,0,0,0,0,3.4,386,11343,Allegheny County
42003474102,0,0,0,0,3.7,451,12325,Allegheny County
42003474201,0,0,0,0,1.8,156,8715,Allegheny County
42003474202,0,0,0,0,2.1,454,21801,Allegheny County
42003474203,0,0,0,0,1.1,262,24298,Allegheny County
42003475101,0,0,0,0,9.1,975,10739,Allegheny County
42003475102,0,0,0,0,4.6,133,2868,Allegheny County
42003475200,0,0,0,0,9.4,856,9068,Allegheny County
42003475301,0,0,0,0,3.9,773,19832,Allegheny County
42003475303,0,0,0,0,3.7,428,11474,Allegheny County
42003475304,0,0,0,0,2.7,713,26351,Allegheny County
42003475401,0,0,0,0,3.3,422,12745,Allegheny County
42003475402,0,0,0,0,3.8,231,6115,Allegheny County
42003476100,0,0,0,0,7.3,1110,15193,Allegheny County
42003476200,0,0,0,0,9.9,741,7474,Allegheny County
42003477100,0,0,0,0,6.3,624,9850,Allegheny County
42003477200,0,0,0,0,4.4,546,12542,Allegheny County
42003477300,0,1,0,1,23.6,2172,9192,Allegheny County
42003478100,0,0,0,0,8.9,830,9337,Allegheny County
42003478200,0,0,0,0,8.4,1281,15296,Allegheny County
42003479000,0,0,0,0,9.3,414,4458,Allegheny County
42003480101,0,1,0,1,5.3,2272,43233,Allegheny County
42003480102,0,0,0,0,7.4,804,10850,Allegheny County
42003480200,0,0,0,0,4.8,404,8461,Allegheny County
42003480300,0,0,0,0,8.8,649,7343,Allegheny County
42003480400,0,0,0,0,7.6,716,9388,Allegheny County
42003481000,0,1,0,1,28.9,2009,6942,Allegheny County
42003482500,0,0,0,0,16.1,510,3163,Allegheny County
42003483800,0,0,0,1,35.2,2192,6232,Allegheny County
42003484300,0,0,0,0,13.6,1183,8681,Allegheny County
42003484500,0,0,0,0,11.8,1263,10674,Allegheny County
42003484600,0,1,0,1,10.9,911,8351,Allegheny County
42003485000,0,1,0,1,19.5,461,2368,Allegheny County
42003486700,0,1,0,1,52.9,1513,2860,Allegheny County
42003486800,0,1,0,1,28,917,3277,Allegheny County
42003486900,0,1,0,1,32.2,980,3041,Allegheny County
42003487000,0,0,0,0,14.4,694,4804,Allegheny County
42003488100,0,0,0,0,12.7,520,4090,Allegheny County
42003488200,0,0,0,0,19.8,1050,5316,Allegheny County
42003488300,0,0,0,0,8.5,423,5000,Allegheny County
42003488400,0,1,0,1,10.7,1893,17692,Allegheny County
42003488500,0,0,0,0,9.3,838,8993,Allegheny County
42003488600,0,0,0,0,15.7,1269,8102,Allegheny County
42003489001,0,0,0,0,6.5,708,10970,Allegheny County
42003489002,0,0,0,0,4.6,485,10453,Allegheny County
42003490002,0,0,0,0,6.6,860,13082,Allegheny County
42003490003,0,0,0,0,8.5,705,8247,Allegheny County
42003490004,0,0,0,0,3.1,472,15429,Allegheny County
42003491101,0,0,0,0,2.8,589,20972,Allegheny County
42003491200,0,0,0,0,2.7,263,9665,Allegheny County
42003492700,1,1,1,1,32.1,946,2946,Allegheny County
42003492800,1,1,1,1,30.4,1282,4210,Allegheny County
42003492900,1,1,1,1,24.5,1183,4832,Allegheny County
42003494000,1,1,1,1,16.2,648,3988,Allegheny County
42003495000,0,0,0,0,5.9,677,11413,Allegheny County
42003496101,0,0,0,0,3.4,425,12633,Allegheny County
42003496102,0,0,0,0,8.2,746,9057,Allegheny County
42003496200,0,0,0,0,10.8,1042,9605,Allegheny County
42003497000,0,0,0,0,5.7,172,3030,Allegheny County
42003498000,1,1,1,1,8.2,709,8602,Allegheny County
42003499300,1,1,1,1,16,508,3180,Allegheny County
42003499400,1,1,1,1,24.4,1182,4841,Allegheny County
42003500300,0,0,0,0,9.5,1091,11542,Allegheny County
42003501000,0,0,0,1,12.7,663,5236,Allegheny County
42003503002,0,0,0,0,9.7,1248,12844,Allegheny County
42003504100,0,1,0,1,12.4,1697,13680,Allegheny County
42003507000,0,1,0,1,10.4,592,5693,Allegheny County
42003508000,0,1,0,1,35.5,1296,3649,Allegheny County
42003509400,1,1,1,1,28.8,2659,9246,Allegheny County
42003510000,1,1,1,1,28,1198,4272,Allegheny County
42003512000,1,1,1,1,21.2,1132,5333,Allegheny County
42003512800,0,1,0,1,50.8,880,1733,Allegheny County
42003512900,0,1,0,1,24.6,571,2321,Allegheny County
42003513800,0,1,0,1,35.7,980,2743,Allegheny County
42003514000,1,1,1,1,28.5,1150,4037,Allegheny County
42003515100,0,1,0,1,21.2,1302,6138,Allegheny County
42003515200,0,0,0,0,8.2,556,6779,Allegheny County
42003515300,0,1,0,1,21.2,791,3729,Allegheny County
42003515401,0,0,0,0,10.7,561,5245,Allegheny County
42003516100,0,0,0,0,3.9,158,4015,Allegheny County
42003516200,0,0,0,0,7.8,340,4375,Allegheny County
42003517000,0,1,0,1,23.2,735,3174,Allegheny County
42003518001,0,0,0,0,3.7,246,6633,Allegheny County
42003519000,0,0,0,0,3.1,345,10953,Allegheny County
42003520001,0,0,0,0,5.2,699,13427,Allegheny County
42003520002,0,0,0,0,4.7,817,17499,Allegheny County
42003521100,0,0,0,0,7.9,876,11132,Allegheny County
42003521200,1,1,1,1,7.7,1244,16053,Allegheny County
42003521301,1,1,1,1,23.5,1445,6160,Allegheny County
42003521302,0,0,0,0,6.6,1013,15414,Allegheny County
42003521401,0,0,0,0,4.6,478,10391,Allegheny County
42003521402,0,0,0,0,4.8,468,9687,Allegheny County
42003521500,0,0,0,0,5.8,801,13885,Allegheny County
42003522000,1,1,1,1,21.1,1923,9094,Allegheny County
42003523100,1,1,1,1,20.3,1243,6138,Allegheny County
42003523200,0,1,0,1,14.4,1616,11228,Allegheny County
42003523300,0,0,0,0,4.8,1008,21100,Allegheny County
42003523400,0,0,0,0,8.6,967,11273,Allegheny County
42003523501,0,0,0,0,3.4,939,27823,Allegheny County
42003523502,0,1,0,1,8.7,596,6887,Allegheny County
42003523600,0,0,0,0,9.9,1193,12062,Allegheny County
42003523701,0,0,0,0,9.7,1256,12918,Allegheny County
42003523702,0,0,0,0,10.9,1316,12033,Allegheny County
42003523800,0,0,0,0,4.7,892,18865,Allegheny County
42003524000,0,1,0,1,20.5,970,4731,Allegheny County
42003525100,0,0,0,0,3,269,8882,Allegheny County
42003525200,0,0,0,0,8.7,477,5489,Allegheny County
42003525300,0,0,0,0,4.9,279,5713,Allegheny County
42003526101,0,0,0,0,4.4,863,19535,Allegheny County
42003526102,0,0,0,0,3.7,362,9901,Allegheny County
42003526201,0,0,0,0,2,280,13937,Allegheny County
42003526202,0,0,0,0,7,865,12299,Allegheny County
42003526301,0,0,0,0,3.8,646,17044,Allegheny County
42003526302,0,0,0,0,4.4,691,15796,Allegheny County
42003550900,0,1,0,1,34.8,987,2835,Allegheny County
42003551200,0,1,0,1,37.9,1880,4955,Allegheny County
42003551300,0,0,0,0,12.9,711,5521,Allegheny County
42003551900,0,1,0,1,61.2,1233,2014,Allegheny County
42003552000,0,1,0,1,27.8,1354,4876,Allegheny County
42003552100,0,1,0,1,56.7,976,1720,Allegheny County
42003552200,0,1,0,1,31.9,578,1809,Allegheny County
42003552300,0,1,0,1,39.9,1249,3133,Allegheny County
42003552400,0,1,0,1,20.7,1417,6844,Allegheny County
42003560400,0,0,0,1,25.7,834,3240,Allegheny County
42003560500,0,0,0,0,10.2,407,3991,Allegheny County
42003560600,0,0,0,1,41.9,512,1221,Allegheny County
42003561000,0,1,0,1,38.1,709,1863,Allegheny County
42003561100,0,0,0,1,52.5,794,1513,Allegheny County
42003561200,0,0,0,1,34.8,857,2464,Allegheny County
42003561400,0,1,0,1,12.1,1672,13767,Allegheny County
42003561500,1,1,1,1,23.8,1228,5163,Allegheny County
42003561600,0,1,0,1,19.7,1019,5175,Allegheny County
42003561700,0,1,0,1,8.1,428,5286,Allegheny County
42003561900,1,1,1,1,31,1388,4474,Allegheny County
42003562000,0,0,0,1,45.9,1695,3690,Allegheny County
42003562300,1,1,1,1,46.9,2053,4381,Allegheny County
42003562400,0,1,0,1,18.9,919,4864,Allegheny County
42003562500,0,1,0,1,34.4,1792,5206,Allegheny County
42003562600,1,1,1,1,17.8,1058,5938,Allegheny County
42003562700,0,1,0,1,20.7,690,3338,Allegheny County
42003562800,1,1,1,1,20.3,717,3530,Allegheny County
42003562900,1,1,1,1,20.2,1051,5213,Allegheny County
42003563000,0,0,0,0,14.5,640,4408,Allegheny County
42003563100,0,0,0,0,10,866,8672,Allegheny County
42003563200,0,1,0,1,27.3,968,3550,Allegheny County
42003563300,0,0,0,0,2.3,100,4326,Allegheny County
42003563800,0,0,0,0,4.1,397,9771,Allegheny County
42003563900,0,0,0,0,8.3,971,11652,Allegheny County
42003564000,0,0,0,0,3.7,1060,28496,Allegheny County
42003564100,0,0,0,0,2.8,41,1460,Allegheny County
42003564200,0,0,0,0,5.1,367,7151,Allegheny County
42003564400,1,1,1,1,9,1504,16792,Allegheny County
42003564500,0,0,0,0,9,695,7710,Allegheny County
42003980000,0,0,0,0,0,0,0,Allegheny County
42003980100,0,0,0,0,0,0,0,Allegheny County
42003980300,0,0,0,0,0,0,0,Allegheny County
42003980400,0,0,0,0,0,0,0,Allegheny County
42003980500,0,1,0,1,55.6,9,16,Allegheny County
42003980600,0,0,0,0,0,0,0,Allegheny County
42003980700,0,0,0,0,0,0,0,Allegheny County
42003980900,0,0,0,0,0,0,0,Allegheny County
42003981000,0,0,0,0,0,0,0,Allegheny County
42003981100,0,0,0,0,0,0,0,Allegheny County
42003981800,0,1,0,1,48.4,29,60,Allegheny County
42003982200,0,1,0,1,37,10,27,Allegheny County
42005950100,0,0,0,1,13.7,1728,12578,Armstrong County
42005950200,0,0,0,1,8.7,546,6258,Armstrong County
42005950300,0,0,0,0,12.6,955,7553,Armstrong County
42005950400,0,0,0,1,8.9,708,7919,Armstrong County
42005950500,0,0,0,0,4.4,1030,23155,Armstrong County
42005950600,0,0,0,1,12.7,866,6824,Armstrong County
42005950700,0,0,0,1,15.6,1667,10677,Armstrong County
42005950800,0,0,0,0,6.7,843,12652,Armstrong County
42005950900,0,0,0,1,8.9,1384,15600,Armstrong County
42005951000,1,1,1,1,22,1467,6674,Armstrong County
42005951100,0,1,0,1,23.7,1959,8267,Armstrong County
42005951200,0,0,0,0,8.2,1225,14863,Armstrong County
42005951300,0,0,0,0,6.9,693,10070,Armstrong County
42005951400,0,0,0,1,12.5,868,6968,Armstrong County
42005951500,0,0,0,0,14.2,983,6927,Armstrong County
42005951600,0,0,0,0,11.8,1356,11507,Armstrong County
42005951700,0,0,0,0,7.9,936,11788,Armstrong County
42005951800,0,1,0,1,21.3,917,4308,Armstrong County
42005951900,1,1,1,1,10.6,687,6451,Armstrong County
42007600601,0,0,0,0,7.2,510,7087,Beaver County
42007600602,0,0,0,0,9.6,774,8071,Beaver County
42007600700,0,0,0,0,3.4,1101,32282,Beaver County
42007601000,0,0,0,0,7.3,690,9424,Beaver County
42007601100,1,1,1,1,24.4,895,3673,Beaver County
42007601200,1,1,1,1,31,1711,5516,Beaver County
42007601300,1,1,1,1,27.1,1429,5274,Beaver County
42007601400,0,1,0,1,9.4,1435,15234,Beaver County
42007601600,1,1,1,1,13.7,420,3072,Beaver County
42007601700,0,0,0,0,3.9,520,13282,Beaver County
42007601800,0,0,0,0,4.1,1000,24443,Beaver County
42007602100,0,0,0,1,23.4,1335,5709,Beaver County
42007602300,0,0,0,0,9.8,578,5868,Beaver County
42007602400,0,0,0,0,7.3,302,4141,Beaver County
42007602500,1,1,1,1,10.7,421,3949,Beaver County
42007602601,0,0,0,0,9.2,1104,11941,Beaver County
42007602602,0,0,0,0,2.2,455,20494,Beaver County
42007602701,0,0,0,0,8.1,338,4193,Beaver County
42007602702,0,0,0,0,7.3,708,9679,Beaver County
42007602800,1,1,1,1,29.8,1677,5632,Beaver County
42007602900,0,0,0,0,9,707,7823,Beaver County
42007603000,0,0,0,0,4.7,646,13709,Beaver County
42007603202,0,0,0,0,2,1028,52612,Beaver County
42007603300,0,0,0,0,6.6,1000,15105,Beaver County
42007603400,0,1,0,1,15.4,730,4755,Beaver County
42007603500,1,1,1,1,19.7,766,3883,Beaver County
42007603600,0,0,0,0,7.2,591,8216,Beaver County
42007603700,0,1,0,1,10.6,1029,9689,Beaver County
42007603801,0,0,0,0,3.5,473,13602,Beaver County
42007603802,0,0,0,0,2.1,229,10714,Beaver County
42007603803,0,0,0,0,4.5,392,8616,Beaver County
42007603900,0,0,0,0,2.6,465,18106,Beaver County
42007604000,1,1,1,1,15.1,1259,8351,Beaver County
42007604100,1,1,1,1,13.1,1620,12389,Beaver County
42007604200,1,1,1,1,15.3,543,3554,Beaver County
42007604500,1,1,1,1,54.2,1615,2978,Beaver County
42007604600,0,1,0,1,26.7,1320,4944,Beaver County
42007604700,0,0,0,1,17.2,552,3214,Beaver County
42007604800,0,0,0,0,9,903,10065,Beaver County
42007604901,0,0,0,0,7.2,895,12503,Beaver County
42007604902,0,0,0,0,3.6,702,19416,Beaver County
42007605001,0,0,0,0,9.1,713,7824,Beaver County
42007605002,0,0,0,0,7.6,742,9787,Beaver County
42007605100,0,0,0,0,6.1,1047,17042,Beaver County
42007605200,1,1,1,1,16.6,982,5915,Beaver County
42007605300,0,0,0,0,8,827,10380,Beaver County
42007605400,0,1,0,1,26.5,1674,6324,Beaver County
42007605500,0,0,0,0,11.2,1298,11594,Beaver County
42007605600,0,0,0,1,12.5,1002,8026,Beaver County
42007605700,1,1,1,1,32.7,1073,3283,Beaver County
42007605800,0,0,0,0,6.5,1141,17501,Beaver County
42009960100,0,0,0,1,13.2,1292,9774,Beaver County
42009960200,0,0,0,1,6.7,1215,18159,Beaver County
42009960300,0,0,0,1,16.1,1909,11892,Beaver County
42009960400,0,0,0,1,15,1893,12659,Beaver County
42009960500,0,0,0,1,12.4,1547,12509,Beaver County
42009960600,0,0,0,0,13.2,1941,14684,Beaver County
42009960700,1,1,1,1,16.3,834,5101,Beaver County
42009960800,0,0,0,0,13.4,1199,8957,Beaver County
42009960900,0,0,0,0,12.6,1439,11461,Beaver County
42009961000,1,1,0,1,11.4,1719,15122,Beaver County
42009961100,1,1,0,1,9.5,1312,13786,Beaver County
